user|date|srcLoc(lat,long)|destLoc(lat,long)|distInKms
7911ddbb3650b9e46645d6d8aa3362b733|120105|69.1378,34.5033|69.1667,35.0031|55.64
7911ddbb3650b9e46645d6d8aa3362b733|120107|69.1378,34.5033|69.1667,35.0031|55.64
7911ddbb3650b9e46645d6d8aa3362b733|120108|69.1378,34.5033|69.1667,35.0031|55.64
7911ddbb3650b9e46645d6d8aa3362b733|120109|69.1378,34.5033|69.1757,35.0289|58.55
7911ddbb3650b9e46645d6d8aa3362b733|120110|69.1378,34.5033|69.1667,35.0031|55.64
7911ddbb3650b9e46645d6d8aa3362b733|120111|69.1378,34.5033|69.1667,35.0031|55.64
7911eaa7a401f3cb13a17edd7be9bd8c39|120106|69.0623,34.5247|68.7608,34.0805|56.63
7911eaa7a401f3cb13a17edd7be9bd8c39|120110|69.0623,34.5247|68.6574,33.8868|80.11
7911eaa7a401f3cb13a17edd7be9bd8c39|120111|69.0623,34.5247|68.8194,34.1512|47.14
79120281442f81906383014c863dc795f8|120107|69.0251,34.5326|68.7131,34.0002|65.78
79120281442f81906383014c863dc795f8|120110|69.0251,34.5326|68.6574,33.8868|79.37
791210a22dd7d372b898c0d27a886a638d|120105|69.1566,34.5906|69.3238,35.1029|58.97
791210a22dd7d372b898c0d27a886a638d|120106|69.1566,34.5906|69.3238,35.1029|58.97
79125da6d91984609ee469e8db8d5653e8|120108|69.2396,34.5057|69.0163,34.0081|59.01
7912f22642286ece098bf4c6dc236dfc5c|120108|69.1622,34.4363|68.9573,33.8143|71.69
7912f22642286ece098bf4c6dc236dfc5c|120109|69.1622,34.4363|68.9573,33.8143|71.69
7912f22642286ece098bf4c6dc236dfc5c|120110|69.1622,34.4363|68.9573,33.8143|71.69
7912fe6b65f6d88637aef5d16238109913|120105|70.0398,34.5031|69.1646,34.5434|80.3
7912fe6b65f6d88637aef5d16238109913|120106|70.0398,34.5031|69.1705,34.5358|79.73
7912fe6b65f6d88637aef5d16238109913|120107|70.0398,34.5031|69.1646,34.5434|80.3
7912fe6b65f6d88637aef5d16238109913|120108|70.0398,34.5031|69.1646,34.5434|80.3
7912fe6b65f6d88637aef5d16238109913|120110|70.0398,34.5031|69.3111,34.542|66.9
7912ff44fdcb10c961ec8ce1db854eec94|120107|69.2036,34.4691|70.218,34.5031|93.05
79130ee4990adb2fe5d75ef594d7ce55eb|120105|70.0398,34.5031|69.0949,34.485|86.62
79130ee4990adb2fe5d75ef594d7ce55eb|120106|70.0398,34.5031|69.0949,34.485|86.62
79130ee4990adb2fe5d75ef594d7ce55eb|120107|70.0398,34.5031|69.0949,34.485|86.62
79130ee4990adb2fe5d75ef594d7ce55eb|120109|70.0398,34.5031|69.5879,34.5689|42.04
79130ee4990adb2fe5d75ef594d7ce55eb|120110|70.0398,34.5031|69.1153,34.4907|84.73
79130ee4990adb2fe5d75ef594d7ce55eb|120111|70.0398,34.5031|69.1622,34.4363|80.79
791357cb066ef8228a2020376cec24e178|120109|69.1144,34.749|69.1742,34.5199|26.06
7913949026e0e2232454ccbda4e73a9416|120107|69.2024,34.5784|69.237,35.1194|60.24
7913eefa1f32951d2c4df2f6927143198d|120110|69.1318,34.5524|69.6481,34.8496|57.62
7913f1cc43ec6189b1d3b136b6c951f706|120109|69.177,34.5749|69.4727,35.2762|82.51
791415512e5cf43c5ed9cb3a3dca65d5b3|120105|69.6378,34.8752|69.771,34.5967|33.27
7914197b77f73e4d0205829ec0998b6ebd|120108|69.1254,34.568|69.3632,34.5531|21.84
7914253cc5f8a8b6ce441c680aeac5613f|120105|69.3925,34.5689|69.1703,34.5295|20.82
7914253cc5f8a8b6ce441c680aeac5613f|120106|69.3925,34.5689|69.1539,34.5406|22.08
7914253cc5f8a8b6ce441c680aeac5613f|120107|69.3925,34.5689|69.1539,34.5406|22.08
7914253cc5f8a8b6ce441c680aeac5613f|120108|69.3925,34.5689|69.1623,34.539|21.34
7914253cc5f8a8b6ce441c680aeac5613f|120110|69.3925,34.5689|69.1809,34.5178|20.2
7914b2b6d99b2b4a0833ed4066fe5ab79d|120105|69.1881,34.8551|69.1882,34.5542|33.46
7914b2b6d99b2b4a0833ed4066fe5ab79d|120106|69.1881,34.8551|69.2045,34.5559|33.3
7914b2b6d99b2b4a0833ed4066fe5ab79d|120107|69.1881,34.8551|69.1882,34.5542|33.46
7914b2b6d99b2b4a0833ed4066fe5ab79d|120108|69.1881,34.8551|69.1882,34.5542|33.46
7914b2b6d99b2b4a0833ed4066fe5ab79d|120109|69.1881,34.8551|69.2045,34.5559|33.3
7914b87c282b0b89824532a4fb2edd3930|120109|69.7101,33.9399|69.2058,34.4978|77.45
7914b87c282b0b89824532a4fb2edd3930|120110|69.7101,33.9399|69.1976,34.5017|78.25
791532716bed5ef5cd80bc776ca56e2f44|120110|69.1809,34.5178|68.9286,34.5557|23.49
7915612b2488c4f4c42be7a9edeeb440a4|120105|69.3316,34.5246|69.1245,34.4093|22.91
7915612b2488c4f4c42be7a9edeeb440a4|120107|69.3316,34.5246|69.1245,34.4093|22.91
7915612b2488c4f4c42be7a9edeeb440a4|120108|69.3316,34.5246|69.1245,34.4093|22.91
7915612b2488c4f4c42be7a9edeeb440a4|120109|69.3316,34.5246|69.1245,34.4093|22.91
7915612b2488c4f4c42be7a9edeeb440a4|120110|69.3316,34.5246|69.1245,34.4093|22.91
7915766f6db4c89cbaee4f3e2f560a2501|120105|69.1323,34.5378|69.3109,34.9914|53.01
7915766f6db4c89cbaee4f3e2f560a2501|120106|69.1323,34.5378|69.3109,34.9914|53.01
7915a3c615a872e948d39099a64304e0f2|120105|68.5873,34.118|69.1188,34.5156|65.86
7915a3c615a872e948d39099a64304e0f2|120108|68.5873,34.118|69.1352,34.4509|62.48
7915a3c615a872e948d39099a64304e0f2|120109|68.5873,34.118|69.1352,34.4509|62.48
7915a3c615a872e948d39099a64304e0f2|120110|68.5873,34.118|69.1179,34.5296|66.85
79163c49529c9cc584f5eb9317d6220efd|120105|69.1373,34.5512|69.1144,34.749|22.09
79163c49529c9cc584f5eb9317d6220efd|120106|69.1373,34.5512|69.1144,34.749|22.09
79163c49529c9cc584f5eb9317d6220efd|120108|69.1373,34.5512|69.1144,34.749|22.09
79163c49529c9cc584f5eb9317d6220efd|120109|69.1373,34.5512|69.1144,34.749|22.09
79163c49529c9cc584f5eb9317d6220efd|120110|69.1373,34.5512|69.1144,34.749|22.09
7916c5989d7609c7bc0fcd1e14905687e8|120110|69.3175,34.5153|69.098,34.5242|20.13
7916ec11fe71609f88c0cb5882fd5888ba|120105|69.3925,34.5689|69.173,34.5421|20.32
7916ec11fe71609f88c0cb5882fd5888ba|120106|69.3925,34.5689|69.173,34.5421|20.32
7916ec11fe71609f88c0cb5882fd5888ba|120109|69.3925,34.5689|69.173,34.5421|20.32
791752eb01ea92afd6acd2e1d456455d80|120105|69.1679,34.9048|69.1534,34.5486|39.63
791752eb01ea92afd6acd2e1d456455d80|120106|69.1679,34.9048|69.1192,34.512|43.9
791752eb01ea92afd6acd2e1d456455d80|120107|69.1679,34.9048|69.1192,34.512|43.9
791752eb01ea92afd6acd2e1d456455d80|120108|69.1679,34.9048|69.1539,34.5406|40.52
791752eb01ea92afd6acd2e1d456455d80|120109|69.1679,34.9048|69.133,34.5203|42.87
79180912237857288d97a05506559f0fce|120106|69.771,34.5967|69.2334,34.5004|50.39
79180912237857288d97a05506559f0fce|120107|69.771,34.5967|69.2132,34.4892|52.47
79180912237857288d97a05506559f0fce|120108|69.771,34.5967|69.2334,34.5004|50.39
79180912237857288d97a05506559f0fce|120109|69.771,34.5967|69.2334,34.5004|50.39
79180912237857288d97a05506559f0fce|120110|69.771,34.5967|69.2334,34.5004|50.39
791832047c59f1bd293ef66c910fa504e8|120105|69.1464,34.3199|69.1426,34.5393|24.4
791832047c59f1bd293ef66c910fa504e8|120107|69.1464,34.3199|69.1426,34.5393|24.4
791832047c59f1bd293ef66c910fa504e8|120109|69.1464,34.3199|69.1426,34.5393|24.4
791832047c59f1bd293ef66c910fa504e8|120110|69.1464,34.3199|69.1277,34.5464|25.24
791832047c59f1bd293ef66c910fa504e8|120111|69.1464,34.3199|69.1426,34.5393|24.4
7918760b5191ca86c0a64eb7b19c5f20cc|120105|69.3111,34.542|70.2083,34.6705|83.35
7918760b5191ca86c0a64eb7b19c5f20cc|120107|69.3111,34.542|70.2083,34.6705|83.35
7918760b5191ca86c0a64eb7b19c5f20cc|120108|69.3111,34.542|70.2083,34.6705|83.35
7918760b5191ca86c0a64eb7b19c5f20cc|120110|69.3111,34.542|70.2083,34.6705|83.35
7918d6dd73c221df5c7ef3eda1fbbee41a|120105|70.2147,34.6643|69.3175,34.5153|83.78
7918d6dd73c221df5c7ef3eda1fbbee41a|120109|70.2147,34.6643|69.3925,34.5689|75.98
7918d6dd73c221df5c7ef3eda1fbbee41a|120110|70.2147,34.6643|69.6481,34.8526|55.84
7918de77b3548adf4bbf83e020edec3d35|120111|69.1784,34.532|70.0398,34.5031|78.99
7919472014fbac2775faa3a588679d9ed6|120106|69.3632,34.5531|68.6913,34.1557|75.87
7919472014fbac2775faa3a588679d9ed6|120107|69.3632,34.5531|69.1377,34.4883|21.88
791960e87b944cc6b396097d66aa3cd658|120105|68.8438,34.9957|69.1368,34.5563|55.71
791960e87b944cc6b396097d66aa3cd658|120106|68.8438,34.9957|69.1368,34.5563|55.71
791960e87b944cc6b396097d66aa3cd658|120107|68.8438,34.9957|69.1368,34.5563|55.71
791960e87b944cc6b396097d66aa3cd658|120108|68.8438,34.9957|69.1368,34.5563|55.71
791960e87b944cc6b396097d66aa3cd658|120109|68.8438,34.9957|69.1368,34.5563|55.71
791960e87b944cc6b396097d66aa3cd658|120110|68.8438,34.9957|69.1368,34.5563|55.71
7919767e0366a849dfee30b38868d3566c|120105|69.1426,34.5393|69.5991,34.9697|63.48
791b235d33867c228a570ed3f292dc5e81|120107|69.1533,34.8442|69.1822,34.5613|31.57
791b235d33867c228a570ed3f292dc5e81|120108|69.1533,34.8442|69.1822,34.5613|31.57
791b235d33867c228a570ed3f292dc5e81|120109|69.1533,34.8442|69.1822,34.5613|31.57
791b235d33867c228a570ed3f292dc5e81|120110|69.1533,34.8442|69.0989,34.575|30.34
791b235d33867c228a570ed3f292dc5e81|120111|69.1533,34.8442|69.1822,34.5613|31.57
791b25aea920445e94026f5ad0747eab09|120108|69.1327,35.0549|69.0865,34.5876|52.13
791b25aea920445e94026f5ad0747eab09|120109|69.1327,35.0549|69.0865,34.5876|52.13
791b25aea920445e94026f5ad0747eab09|120110|69.1327,35.0549|69.0865,34.5876|52.13
791b25aea920445e94026f5ad0747eab09|120111|69.1327,35.0549|69.0865,34.5876|52.13
791b6fcaaf9452224994f4856b2412f52a|120110|69.3925,34.5689|69.0865,34.5876|28.09
791c148a5d4cbf3895cb4c76b4327b9d13|120110|70.2083,34.6705|69.1373,34.5512|98.91
791c148a5d4cbf3895cb4c76b4327b9d13|120111|70.2083,34.6705|69.1368,34.5563|98.88
791d0bfcf189f178395c29213f12a89ca1|120106|70.2083,34.6705|69.1528,34.5588|97.39
791d0bfcf189f178395c29213f12a89ca1|120107|70.2083,34.6705|69.1528,34.5588|97.39
791d0bfcf189f178395c29213f12a89ca1|120108|70.2083,34.6705|69.1528,34.5588|97.39
791d0bfcf189f178395c29213f12a89ca1|120109|70.2083,34.6705|69.1528,34.5588|97.39
791d0bfcf189f178395c29213f12a89ca1|120110|70.2083,34.6705|69.1173,34.5725|100.42
791d0bfcf189f178395c29213f12a89ca1|120111|70.2083,34.6705|69.1528,34.5588|97.39
791d4364ea218e7e83be04db94d31e5e5b|120108|69.2243,34.513|70.218,34.5031|91.06
791d4d6817210f596788b1b389af6e4d3d|120107|69.5184,33.7834|69.1622,34.4363|79.66
791d4d6817210f596788b1b389af6e4d3d|120108|69.5184,33.7834|69.1622,34.4363|79.66
791d4d6817210f596788b1b389af6e4d3d|120109|69.5184,33.7834|69.1622,34.4363|79.66
791d4d6817210f596788b1b389af6e4d3d|120110|69.5184,33.7834|69.1622,34.4363|79.66
791d4d6817210f596788b1b389af6e4d3d|120111|69.5184,33.7834|69.1622,34.4363|79.66
791d815bda3f83850c429bd6cc5d5c6f87|120109|69.1508,34.5337|69.2949,35.1487|69.64
791d82499e08a513323344ad73a2dc0723|120110|69.2665,33.6246|69.0163,34.0081|48.5
791d8e5c0f6a9d915ce9ef4ffcd238d013|120107|69.2949,35.1487|69.1368,34.5563|67.43
791d8e5c0f6a9d915ce9ef4ffcd238d013|120108|69.2949,35.1487|69.1264,34.5581|67.45
791d8e5c0f6a9d915ce9ef4ffcd238d013|120109|69.2949,35.1487|69.1368,34.5563|67.43
791d8e5c0f6a9d915ce9ef4ffcd238d013|120110|69.2949,35.1487|69.1304,34.5525|67.97
791e713aa9b9763d70576bc0b708777b2f|120106|69.1669,34.5358|69.0961,34.209|36.91
791f918d1e754e222fb0ff3cae688236fd|120105|69.4727,35.2762|69.1314,34.5756|83.89
791f918d1e754e222fb0ff3cae688236fd|120107|69.4727,35.2762|69.2491,34.5416|84.19
791f918d1e754e222fb0ff3cae688236fd|120108|69.4727,35.2762|69.2491,34.5416|84.19
791f918d1e754e222fb0ff3cae688236fd|120109|69.4727,35.2762|69.1173,34.5725|84.69
791f918d1e754e222fb0ff3cae688236fd|120110|69.4727,35.2762|69.1368,34.5563|85.71
791f918d1e754e222fb0ff3cae688236fd|120111|69.4727,35.2762|69.1238,34.5815|83.54
791faff35631121c94af8b879b856f93fc|120108|69.1809,34.5178|69.3925,34.5689|20.2
791fb8ae9046bbd3f3627002b1e04f5cbf|120110|69.1585,34.5303|69.9703,34.2481|80.83
791fb8ae9046bbd3f3627002b1e04f5cbf|120111|69.1585,34.5303|69.9703,34.2481|80.83
792017dbb69571d4bdb4a146ee7bd644b6|120106|69.2337,34.5301|69.1539,33.7558|86.41
792077953f76248ff42ad0394c344b08dd|120106|69.1622,34.4363|68.9748,34.5706|22.76
792077953f76248ff42ad0394c344b08dd|120107|69.1622,34.4363|68.9748,34.5706|22.76
